rank	word	reason
61730	-hältig	affix_fragment
61731	-hämie	affix_fragment
61732	-höffig	affix_fragment
61733	-hübel	affix_fragment
61734	-hütte	affix_fragment
61735	-i	affix_fragment
61736	-i-	affix_fragment
61737	-iater	affix_fragment
61738	-iatrie	affix_fragment
61739	-ibel	affix_fragment
61740	-ibelste	affix_fragment
61741	-ibelstem	affix_fragment
61742	-ibelsten	affix_fragment
61743	-ibelster	affix_fragment
61744	-ibelstes	affix_fragment
61745	-ible	affix_fragment
61746	-iblem	affix_fragment
61747	-iblen	affix_fragment
61748	-ibler	affix_fragment
61749	-iblere	affix_fragment
61750	-iblerem	affix_fragment
61751	-ibleren	affix_fragment
61752	-iblerer	affix_fragment
61753	-ibleres	affix_fragment
61754	-ibles	affix_fragment
61755	-id	affix_fragment
61756	-idae	affix_fragment
61757	-ie	affix_fragment
61758	-iell	affix_fragment
61759	-ien	affix_fragment
61760	-ier	affix_fragment
61761	-iere	affix_fragment
61762	-ieren	affix_fragment
61763	-iers	affix_fragment
61764	-ifizier	affix_fragment
61765	-ig	affix_fragment
61766	-igk	affix_fragment
61767	-igkeit	affix_fragment
61768	-ik	affix_fragment
61769	-iker	affix_fragment
61770	-in	affix_fragment
61771	-inae	affix_fragment
61772	-ing	affix_fragment
61773	-ingen	affix_fragment
61774	-innen	affix_fragment
61775	-intern	affix_fragment
61776	-ion	affix_fragment
61777	-isch	affix_fragment
61778	-isier	affix_fragment
61779	-isk	affix_fragment
61780	-ismen	affix_fragment
61781	-ismus	affix_fragment
61782	-ist	affix_fragment
61783	-it	affix_fragment
61784	-ition	affix_fragment
61785	-itis	affix_fragment
61786	-itz	affix_fragment
61787	-ität	affix_fragment
61788	-iv	affix_fragment
61789	-jährig	affix_fragment
61790	-jährige	affix_fragment
61791	-jährigem	affix_fragment
61792	-jährigen	affix_fragment
61793	-jähriger	affix_fragment
61794	-jähriges	affix_fragment
61795	-kardie	affix_fragment
61796	-keit	affix_fragment
61797	-keiten	affix_fragment
61798	-kerken	affix_fragment
61799	-kirch	affix_fragment
61800	-kirchen	affix_fragment
61801	-kloster	affix_fragment
61802	-konform	affix_fragment
61803	-krat	affix_fragment
61804	-kratie	affix_fragment
61805	-kunde	affix_fragment
61806	-köpfig	affix_fragment
61807	-land	affix_fragment
61808	-lastig	affix_fragment
61809	-lastiger	affix_fragment
61810	-lastigsten	affix_fragment
61811	-le	affix_fragment
61812	-leben	affix_fragment
61813	-legen	affix_fragment
61814	-lei	affix_fragment
61815	-lein	affix_fragment
61816	-leins	affix_fragment
61817	-lekt	affix_fragment
61818	-ler	affix_fragment
61819	-les	affix_fragment
61820	-lich	affix_fragment
61821	-lichenes	affix_fragment
61822	-ling	affix_fragment
61823	-linge	affix_fragment
61824	-lingen	affix_fragment
61825	-lings	affix_fragment
61826	-lith	affix_fragment
61827	-log	affix_fragment
61828	-loge	affix_fragment
